The main character can be briefly characterized as an elderly curmudgeonly man. | G³ównego bohatera mo¿na krótko scharakteryzowaæ jako starszego zrzêdliwego pana.
Most of the company's production is associated with toyetic movie characters. | Wiêkszo¶æ produkcji tej firmy wi±¿e siê z zabawkami wzorowanymi na bohaterach filmów.

Sipid dishes and delightful aroma made my mouth water. | Aromatyczne dania i wspania³y zapach sprawi³y, ¿e ¶linka mi ciek³a.

He's so ranky that it makes him look just clumsy! | Jest taki szczup³y i wysoki, ¿e wygl±da jak niezdara!

The other team used to be vincible, but today we lost. | Dru¿yna przeciwników by³a kiedy¶ do pokonania, ale dzisiaj przegrali¶my.

These nival regions hardly ever are visited. | Te ¶nie¿ne rejony rzadko kto¶ odwiedza.

It proved quite difficult to come up with a somnific name for a sleeping pill, which was my task during the interview. | Wymy¶lenie "sennej" nazwy dla proszków nasennych okaza³o siê ca³kiem trudne, a takie by³o moje zadanie podczas rozmowy kwalifikacyjnej.

I would never suspect he'd turn out such a schmendrik! | Nigdy nie podejrzewa³em, ¿e oka¿e siê takim naiwniakiem!

I have lots of sympathy for this poindexter and no idea whatsoever how to help him. | Bardzo wspó³czujê temu inteligentnemu ch³opcu niepotrafi±cym nai±zaæ kontaktu z rówie¶nikami i nie mam ¿adnego pomys³u, jak mu pomóc.

It was a great joy to see my daughter rident. | Wielk± rado¶æ sprawi³ mi widok mojej roze¶mianej córki.

But for his typically human trepid nature he wouldn't have withdrawn. | Gdyby nie jego typowo ludzka boja¼liwa natura, nie wycofa³by siê.

I won't play in that team of loobies! | Nie bêdê gra³ w tej dru¿ynie niezdar!

When I first met Mark I had an impression he'll forever remain a gadabout. | Kiedy pozna³em Mark'a, mia³em wra¿enie, ¿e juz zawsze bêdzie co chwila zmienia³ pracê.

If you cope with his style, which is dryasdust, you're going to find this essay thought-provoking. | Je¶li poradzisz sobie z jego stylem, który jest potwornie nudny, uznasz ten esej za sk³aniaj±cy do refleksji.

George is! He's never satisfied with the work of our team! | Ale pedant z tego George'a! Nigdy nie jest zadowolony z pracy naszego zespo³u.

He's such a cringeworthy person he just makes me feel awful. | Jest tak pesz±cy, ¿e czujê siê przy nim okropnie.

The monk was writing a sutra for his apprentice. | Mnich pisa³ sutrê dla swojego ucznia.

He's been suffering from mogigraphia, which, in my opinion, is just a symptom. He's encountered a crisis as a writer. | Cierpi na kurcz pisarski, który wed³ug mnie jest tylko objawem. Prze¿ywa kryzys jako pisarz.

This Prufrockian character is a perfect example of the author's inspirations. | Ten prufrokiañski bohater jest doskona³ym przyk³adem inspiracji autora.

His eupeptic attitude always makes me cheer up. | Jego pogodne nastawienie zawsze mnie pociesza.

Natation meant the whole life t her. | Sztuka p³ywacka by³a ca³ym jej ¿yciem.

This lotion is not comedogenic, you can safely use it. | Ten tonik nie wywo³uje tr±dziku, mo¿esz go spokojnie u¿ywaæ.

Andy's sass is not what we can stand or tolerate. | Nie mo¿emy znie¶æ ani tolerowaæ bezczelnych wypowiedzi Andy'ego.

Flu days have been introduced in the area. | Wprowadzono dni wolne ze wzglêdu na zagro¿enie gryp± w tym rejonie.

It's funny how citified that girl became! | Zabawne, jak wielkomiejsk± pozê przybra³a ta dziewczyna!

The tabloid published a really hard-edged article, criticizing the feminist movement. | Brukowiec opublikowa³ bardzo napastliwy artyku³ krytykujacy ruch feministyczny.

I hear Sally's been going out with that noddy again! | Slysza³em, ¿e Sally znowu spotyka siê z tym os³em!

Carl has become so schoolmarmish I can't stand it any more. | Carl sta³ sie tak oficjalny i staro¶wiecki, ¿e nie moge ju¿ tego znie¶æ.

The movie is a moving story about astalker and his unaware victim. | Ten film to poruszaj±ca historia prze¶ladowcy i jego nie¶wiadomej ofiary.

Rediscovering old stuff from our youth was real fun. For example, in her teenage poem, Mary called love a "volitant sparkle that makes the tunnel of night brighter". | Odkrywanie na nowo naszych pami±tek z m³odo¶ci by³o ¶wietn± zabaw±. Na przyk³ad Mary w swoim wierszu, który napisa³a kiedy mia³a na¶cie lat, nazwa³a mi³o¶æ "ruchliw± iskr±, która roz¶wietla tunel nocy". 

The company would like to introduce chickenability policies with regard to their soya products. | Firma chcia³aby wprowadziæ politykê maj±c± na celu osi±gniêcie przez ich produkty sojowe popularno¶ci, która dorównywa³aby popularno¶ci produktów z kurczaka.

All those soya sausages, tofurkeys and ham-flavoured  veggie products make me laugh. Who's the target? If you don't feel like eating meat, you simply quit it, if you can't do without it- why cheat yourself? | Wszystkie te kie³baski sojowe, indyki z tofu i produkty wegetariañskie o smaku szynki ¶miesz± mnie.  Kim maj± byæ ich konsumenci? Jak nie masz ochoty na miêso, to z niego rezygnujesz, je¶li nie mo¿esz siê bez niego obej¶æ- dlaczego masz siê oszukiwaæ?

Deprivation of skinship in early childhood may lead to emotional instability in the adult life. | Pozbawienie czu³ego dotyku we wczesnym dzieciñstwie mo¿e prowadziæ do braku emocjonalnej stabilno¶ci w doros³ym ¿yciu.

We'll never reach an agreement regarding P2P programmes- some of us believe it's fair, some call it songlifting. | Nigdy nie zgodzimy siê w kwestii programów P2P- niektórzy z nas s±dz±, ¿e to uczciwe, inni, ¿e to nielegalne.

Milk-brain is what happened to me as well and I'm telling you, you shouldn't feel guilty. | Degrengolada zwi±zana z opiek± nad ma³ym dzieckiem zdarzy³a siê równie¿ mi i mówiê ci, ¿e nie powinna¶ czuæ siê winna.

The supermarket introduced new bags-for-life. | Ten supermarket wprowadzi³ nowe "ekologiczne" torby na zakupy.

My classmates greet by elbow-bump, which is the latest trend at my school. | Moi koledzy z klasy witaj± siê ³okciami. Jest to najnowsza moda w mojej szkole.

Tim's been piggybacking for months. | Tim od miesiêcy nielegalnie korzysta z bezprzewodowego dostêpu do Internetu.

Some say songlifters are just thieves. | Niektórzy twierdz±, ¿e osoby ¶ci±gaj±ce muzykê z Internetu u¿ywaj±c programów typu P2P to po prostu z³odzieje.

The clerisy doesn't really mean much these days. | Inteligencja niewiele dzi¶ znaczy.

The actor was called a love-rat in the tabloid article- that's how his girlfriend found out the truth. | Ten akktor zosta³ nazwany potajemnym kochankiem w artykule  w brukowcu- w ten sposób jego dziewczyna pozna³a prawdê.

Those gut-wrenching scenes made me turn off the TV. | Te przyprawiaj±ce o md³o¶ci sceny zmusi³y mnie do wy³±czenia telewizora.

The boys formed a peewee football team. | Ch³opcy stworzyli dru¿ynê pi³karsk± maluchów.

The professor's excursive remarks make his lectures slightly chaotic. | Dygresyjne uwagi profesora czyni± jego wyk³ady nieco chaotycznymi.

Sally's a sleepeater. | Sally je podczas snu.

As a journo I can't be an egocaster and have to watch the Pospieszalski's programme now and then.  | Jako dziennikarz nie mogê wybieraæ tylko tych audycji, które lansuj± zgodne z moimi pogl±dy i musze czasem obejrzeæ program Pospieszalskiego.

He devoted himself to geomythology. | Po¶wiêci³ siê geomitologii.

Sometimes I wonder whether the youngest generation are becoming Websumers or not. | Czasem zastanawiam siê, czy najm³odsze pokolenie staje siê "konsumentami sieci".

Where did you get these socko boots? | Sk±d masz te ¶wietne buty?

Greenscamming is just another marketing strategy. | Nadawanie "ekologicznych" nazw produktom to jeszcze jedna strategia marketingowa.

As long as Jim's happy with what he's become, that is, a perfect monotasker- I don't mind it. | Dopóki Jim jest zadowolony, ¿e stale zajmuje siê jedn± prac±- nie mam nic przeciwko temu.

His fetial gesture saved many a lives. | Jego pokojowy gest ocali³ wiele istnieñ.

If McJob is all you're searching for, you might be satisfied. | Je¶li szukasz s³abo p³atnej posady bez perspektyw, byæ mo¿e bêdziesz zadowolony.

Among starlets identical to her, she was a real showstopper. | Po¶ród identycznych gwiazdek, to w³a¶nie ona przyci±ga³a uwagê.

The whole tabloid consists of factoids. | Ca³y ten brukowiec sk³ada siê z nierzetelnych informacji.

These pro-ana magz and Websites are not the reason for eating disorders. They do affect teenage girls, though. | Te pisemka i strony inetrnetowe promuj±ce anoreksjê nie s± przyczyn± zaburzeñ zwi±zanych z od¿ywianiem siê. Maj± jednak szkodliwy wp³yw na nastoletnie dziewczyny.

The newd was black-holed, which I realised too late. | Informacje zosta³y ukryte, z czego zda³em sobie sprawê zbyt pó¼no.

Editor-in-chief fired that buckraker. | Redaktor naczelny wyla³ tego dziennikarza korzystaj±cego ze swoich znajomo¶ci poza prac±.

Their latest production is a poor dramality. | Ich ostatnia produkcja to marny program reality z elementami teatru.

What they produced is just mallternative. | Ich produkcja to tylko alternatywa centrów handlowych.

She's been playacting all her life- I wouldn't take it seriously. | Ona ca³e ¿ycie gra- nie traktowa³bym tego serio.

Henry wouldn't trust any baby-sitter, so he decided to instal a nanny-cam. | Henry nie zaufa³by ¿adnej opiekunce do dziecka, wiêc postanowi³ zainstalowaæ kamerê, dziêki której móg³by je kontrolowaæ.

All he said was a barefaced lie. | Wszystko, co powiedzia³ to ewidentne k³amstwo.

She decided to take the unbreed from the shelter. | Postanowi³a wzi±æ tego kundelka ze schroniska.

Agata could stop sending that meatloaf! | Agata mog³aby przestaæ rozsy³ac te maile do wszystkich!

It was a great opportunity to showcase the achievements of our artists. | To by³a ¶wietna okazja, by pochwaliæ siê osi±gniêciami naszych artystów.

I'm going to resit most of my exams in September. | Ponownie podchodzê do wiêkszo¶ci egzaminów we wrze¶niu.

Any velitation now would ruin the peace. | Najdrobniejszy spór zak³óci³by teraz spokój.

Their flag-waving might turn out dangerous. | Ich skrajny patriotyzm mo¿e okazaæ siê niebezpieczny.

Garbology offers a really thorough knowledge about us. | "¦mieciologia" daje naprawdê dog³êbn± wiedzê o nas.

I should say the plot is rather clunky. | Powiedzia³bym, ze fabu³a jest do¶æ toporna.

The actors' emoting simply made me laugh. | Przesadna gra aktorska po prostu mnie rozbawi³a.

You may laugh, but volumes have been published about oniomania. | Mo¿esz siê ¶miaæ, ale opublikowano tomy na temat na³ogowych zakupów.

He always was a standpatter and certain ideas simply annoyed him. | Zawsze by³ konserwatyst± i pewne idee po prostu go z³o¶ci³y.

What he presents is obstinate standpattism. | To, co on przedstawia, to uparta niechêæ do jakichkolwiek zmian.

In an aphotic ocean zone incredible plants can be found. | W strefie oceanu pozbawionej ¶wiat³a odkryæ mo¿na niezwyk³e ro¶liny.

The party leader proved to be a crunchy con. | Lider partii okaza³ siê konserwatyst± ¶wiadomym problemów ¶rodowiska.

It proved quite time-consuming to catch that office creeper red-handed! | Zlapanie tego z³odzieja biurowego na gor±cym uczynku okaza³o siê naprawdê czasoch³onne!

The screamingly stupid novel is still a compulsory reading at school. | Ta potwornie g³upia powie¶æ wci±¿ jest lektur± obowi±zkow± w szkole.

How could that zipperhead agree? | Jak ten g³upiec móg³ siê zgodziæ?

As a young boy he would forever dream of adventerous life at a procellous sea. | Jako m³ody ch³opiec bez koñca marzy³ o ¿yciu pe³nym przygód na burzliwym morzu.

The whole issue of the mag is devoted to chairobics, which delighted Hannah, who believes in that form of exercise. | Ca³y numer tego magazynu po¶wiêcony jest æwiczeniom aerobiku na krze¶le, co zachwyci³o Hannah, która wierzy w tê formê æwiczeñ.

The soldiers were greeted by their misty-eyed wives. | Wzruszone ¿ony powita³y ¿o³nierzy.

Brad's always been a preppie. | Brad zawsze by³ szpanerem.

Teachers shouldn't be surprised that children from well-booked families tend to be much more interested in literature than others. | Nauczycieli nie powinno dziwiæ, ¿e dzieci z rodzin posiadaj±cych du¿e ksiêgozbiory s± na ogó³ bardziej zainteresowane literatur± ni¿ inne.

Fertility tourism is becoming increasingly popular. | Poszukiwanie kuracji pomagaj±cych zaj¶æ w ci±¿ê za granic± staje siê coraz bardziej popularne.

Wilkipedia is a typical example of socially produced archives. | Wilkipedia to typowy przyk³ad archiwum tworzonego przez wiele osób naraz.

I really had a meat tooth yesterday and ordered a huge beefsteak. | Mia³em wczoraj wielk± ochotê na miêso i zamówi³em ogromny befsztyk.

They were appointed to carry out the triage. | Zostali wyznaczeni do selekcji rannych.

Mark could make a fortune as a gurgitator! | Mark móg³by zbiæ maj±tek jako uczestnik zawodów w jedzeniu!

She's been acting in an incredibly impudent way- just a kibitzer. | Zachowuje siê niezwykle nachalnie- po prostu narzuca siê ze swoimi radami.

I'm fed up with your cutuppery. | Do¶æ mam waszych wyg³upów.

She lives in a world of chocolate-box stories. | Ona ¿yje w ¶wiecie przes³odzonych historii.

Sheila is said to be a scientist manque. | Mówi± o Sheili, ¿e jest niespe³nionym naukowcem.

The novel depicts a vision of the Dark Ages redux. | Powie¶æ przedstawia wizjê powrotu do ¶redniowiecza.

We all started checking our purses and pockets- a sort of rinxiety it was. | Zaczêli¶my wszyscy sprawdzac torebki i kieszenie- zamieszanie wywo³ane d¼wiêkiem telefonu.

That hyperdating seems a cure after Sheila left him. | Te liczne randki z ró¿nymi dziewczynami to chyba kuracja po tym, jak Sheila go zostawi³a.

Do you really think that blunderer will cope? | Naprawdê s±dzisz, ¿e ten niedorajda da sobie radê?

She's too sensitive to talk to that blunderbuss.  | Ona jest zbyt wra¿liwa, ¿eby rozmawiaæ z tym grubianinem.

I heard the sounds of kerfuffle from the street. | Slysza³em odg³osy zamieszania z ulicy.

I won't lie- I'm a blusher and it will come out. | Nie sk³amiê- ³atwo siê rumieniê i wszystko siê wyda.

He's going to blue-pencil the whole article if he doesn't like it. | Pokre¶li ca³y artyku³, je¶li mu siê nie spodoba.

She treated us much too bluffly to make us suspect anything. | Potraktowa³a nas zbyt bezpo¶rednio, by¶my cokolwiek podejrzewali.

The mess and bobbery in the yard were a bad omen. | Zamieszanie i rejwach na podwórzu nie wró¿y³y dobrze.

Sandra's mother's bonhomie may be confusing. | Wylewno¶æ matki Sandry czasem zbija z panta³yku.

Sometimes she was nit-picking and too demanding for us students. | Czasami szuka³a dziury w ca³ym i by³a dla nas uczniów zbyt wymagaj±ca.

Her whole behaviour, to begin with obsessive thinking about how much her plants needed watering during the vacations at France, indicated nostomania. | Ca³e jej zachowanie, zaczynaj±c od obsesyjnego rozmy¶lania o konieczno¶ci podlania kwiatków podczas urlopu w Pary¿u, wskazywa³o na maniê na punkcie domu.

He's got bad marks, which results in nostophobia, which, in turn, makes him study even less effectively. | Ma z³e oceny, co powoduje strach przed powrotem do domu, a to z kolei zprawia, ¿e uczy siê z jeszcze gorszymi wynikami.

Alice and I are planning a sightjogging holiday. | Planujemy z Alicj± wakacje, na których bêdziemy zwiedzaæ biegaj±c.

That clodhopper's going to spoil the whole plan. | Ten niezdara gotów zepsuæ ca³y plan.

The boss called Anne a clock-watcher, which offended her. | Szef powiedzia³ o  Anne, ¿e tylko odlicza minuty do zakoñczenia pracy, co ja obrazi³o.

We did not intend to discommode you. | Nie by³o naszym zamiarem nara¿aæ ciê na niewygody.

When is the horseplay going to end? | Kiedy skoñcz± siê te brewerie?

Barkitecture is becoming a popular business. | Architektura psich bud staje siê popularnym interesem.

The movie is targeted at the tweenie audience. | Ten film jest skierowany do publiczno¶ci w wieku 10-15 lat.

Those new enthusiastic employees surrounding themselves with missionware are simply pathetic. | Ci nowi entuzjastyczni pracownicy otaczaj±cy siê gad¿etami z logo firmy s± po prostu ¿a³o¶ni.

Journalists kneecapped the scientist. | Dziennikarze w wyj±tkowo perfidny sposób zaszkodzili naukowcowi.

He must have worked as a sutler during the war. | Z pewno¶ci± pracowa³ jako wêdrowny handlarz podczas wojny.

The waitress accused us of brown-bagging. | Kelnerka oskar¿y³a nas o przyniesienie alkoholu do restauracji.

I would never suspect Sally of being such a cornball. | Nigdy nie podejrzewa³bym Sally o to, ¿e tak lubi ckliwe filmy.

Ann writes poems about scintillescent moonlight, dark nights and neverending sorrow. | Ann pisze wiersze o iskrz±cym blasku ksiê¿yca, ciemnych nocach i niekoñcz±cym siê smutku.

Molly's grandfather was a cordwainer and owned a small shop. | Dziadek Molly by³ szewcem i posiada³ ma³y sklepik.

They dogtrotted with their heavy luggage for hours. | Wlekli siê z ciê¿kim baga¿em strasznie d³ugo.

He woke up from the dog-sleep. | Przebudzi³ siê z lekkiego snu.

He felt a bit better after the dog-nap. | Po krótkiej drzemce na siedz±co poczu³ siê nieco lepiej.

Aunt Mary is a do-gooder, which is pretty annoying. | Ciotka Mary uszczê¶liwia innych na si³ê, co jest bardzo irytuj±ce.

He became a chapman at the end of his life. | Kupcem zosta³ pod koniec ¿ycia.

Philography became more than a hobby to her. | Kolekcjonowanie autografów sta³o siê dla niej czym¶ wiêcej ni¿ hobby.

You'll see- in a second he'll start drailing to his ex. | Zobaczysz- za chwilê zacznie pisaæ pijackie maile do swojej by³ej.

His dendriform sculptures didn't impress me. | Jego rze¼by w kszta³cie drzewa nie zrobi³y na mnie wra¿enia.

The legendary king was infamous for the way he abashed his courtiers. | Legendarny król by³ znany z tego, jak poni¿a³ swoich dworzan.

The movie is a story of a schlub whose life is a misery. | Film opowiada historiê ¿a³osnego ¿ycia pewnego durnia.

It is the band's best-known shtick. | To najs³ynniejsza ze sztuczek tego zespo³u.

The wicked rapparee was eventually caught by his foes. | Z³y rabu¶ zosta³ wreszczie schwytany przez nieprzyjació³.

His face-blindness and all the situations resulting from it became legendary. | Jego z³a pamiêæ do twarzy i wszystkie wynikaj±ce z niej sytuacje sta³y siê legendarne.

They decided to organize a retrorunning race. | Postanowili zorganizowaæ wy¶cigi w bieganiu do ty³u.

They decided to organize a retrorunning race. | Postanowili zorganizowaæ wy¶cigi w bieganiu do ty³u.

We're having a bottle party on Saturday- will you come along? | Robimy w sobotê imprezê sk³adkow±- przyjdziesz?

Film mavens stated the movie was a piece of art. | Znawcy filmu uznali ten film za dzie³o sztuki.

We chaffered all night long. | Trajkota³ysmy ca³± noc.

We simply guttled the dessert. | Po prostu po¿arli¶my deser.

The movie tells a story of a goody two-shoes who eventually turns out a villain. | Film opowiada historiê osoby dumnej ze swoich cnót, która na koñcu okazuje siê czarnym charakterem.

The plant's pod will dehisce with a crack. | Str±czek ro¶liny pêknie z hukiem.

My troubled mind needs a galen. | Mój zmêczony umys³ potrzebuje lekarza.

The novel will ensorcell a most sophisticated reader. | Ta powie¶æ oczaruje najbardziej wyrafinowanego czytelnika.

She's a real yenta. | Jest okropn± plotkar±.

This old-fashioned antidisestablishmentarianism they represent may prove dangerous. | Ten staro¶wiecki sprzeciw wobec rozdzia³u Ko¶cio³a i pañstwa, który prezentuj±, mo¿e okazaæ siê gro¼ny.

I will ensoul this image forever. | Na zawsze zachowam w duszy ten obraz.

Dheila really believes in arithmancy and other strange superstitions! | Sheila naprawdê wierzy w numerologiê i inne dziwne zabobony!

It was difficult to drive in the guaggy field. | Ciê¿ko by³o jechaæ przez bagniste pole.

They've been schmoozing all afternoon. | Plotkuj± ca³e popo³udnie.

Hefting barbells is what I hate. | Nie znoszê podnoszenia sztangi.

Voluntary inedia and anorexia still remain unsolved problems. | Dobrowolne niejedzenie i anoreksja to wci±¿ nierozwi±zane problemy.

The exiguous furniture the artist designed sold at an astonishing price. | Sk±pe meble zaprojektowane przez artyst± sprzedano za zdumiewaj±c± cenê.

Her grandma used to work as a baxter. | Jej babcia pracowa³a kiedy¶ jako piekarz.

The ring has a beautiful margaritaceous sheen. | Pier¶cieñ ma piêkny per³owy po³ysk.

Her floccinaucinihilipilification of luxury made her dear to me. | Jej brak uznania dla luksusu sprawi³, ¿e sta³a mi siê droga.

The novel appears smugly racist. | Ta powie¶æ wydaje siê ko³tuñsko rasistowska.

His alleged power to produce spirit rappings made Mr Johnson famous. | Pana Johnson'a rozs³awi³a rzekoma zdolno¶æ porozumiewania siê z duchami zmar³ych.

I would call it tarantism- he just had to start dancing. | Nazwa³bym to przemo¿n± chêci± taca- po prostu musia³ to zrobiæ.

She was the most talented terpsichorean I have ever seen. | By³a najbardziej utalentowan± tancerk± jak± widzia³em.

An incredible amount of suggestions and pollicitations have been made but nothing has been decided.  | Zlo¿ono mnóstwo propozycji i sugestii, ale nic nie zosta³o jeszcze postanowione.

Her nudiustertian pov makes me feel uneasy. | Jej przedwczorajszy punkt widzenia sprawia, ¿e czujê siê nieswojo.

Henry's father was a real bromide, offering us bits of advice which were completely useless. | Ojciec Henry'ego by³ strasznym nudziarzem- dawa³ nam zupe³nie bezu¿yteczne rady.

What is more, the new conspectus by Ian Fellow is very clear and well organized. | Co wiêcej, nowy konspekt autorstawa Ian'a Fellow'a jest czytelny i dobrze zorganizowany.

Acidulous everyday work made her tough and strong. | Codzienna, pe³na goryczy praca uczyni³a j± tward± i siln±.

You must be careful when it comes to adduction and argumentation in your thesis. | Musisz byæ uwa¿ny w cytowaniu i przytaczaniu argumentów w swojej pracy.

Laddish behaviour!", she shouted. | "Skandaliczne zachowanie!", krzyknê³a.

His ideas, however sophisticated, will not do as a succedaneum for the war process. | Jego koncepcje, choæ wyrafinowane, nie mog± zast±piæ procesu wojennego.

They decided to settle in the very heart of the gayborhood. | Postanowili zamieszkaæ w samym ¶rodku zamieszka³ej przez gejów okolicy.

The website published some photos taken by peoplerazzi. | Strona internetowa opublikowa³a zdjêcia zrobione przez paparazzich amatorów.

Wikiality is a result of a consensus reached by a majority of Web users. | Rzeczywisto¶æ opisywana przez Wikipediê wynika z porozumienia wiêkszo¶ci u¿ytkowników sieci.

News fasting is becoming popular in rich societies. | ¦wiadome unikanie informacji docieraj±cych za po¶rednictwem mediów staje siê popularne w bogatych spo³eczeñstwach.

Pam has extra work to do as a freshmore. | Pam, jako warunkowo przyjêta na drugi rok, ma wiêcej pracy.

She's gurning as if she were intoxicated. | Robi dziwne miny jakby by³a pod wp³ywem ¶rodków odurzaj±cych.

The bill was filibustered by the opposition. | Ustawa zosta³a zablokowana przez opozycjê.

Gina's one of those cot potatoes- it's pretty hard to make her focus her attention on anything else. | Gina to jedno z dzieci wychowuj±cych siê przed telewizorem- bardzo trudno zwróciæ jej uwagê na cokolwiek innego.

According to the review, his latest mockumentary is not really worth watching. | Wed³ug recenzji jego najnowszy film fabularny zrobiony na podobieñstwo dokumentu niewart jest obejrzenia.

Finally we decided that the new project was a skosh better than the previous one. | W koñcu uznali¶my, ¿e nowy projekt by³ odrobinê lepszy od poprzedniego.

But for this walk-on part she wouldn't have been noticed at all. | Gdyby nie ta epizodyczna rola, w ogóle by jej nie zauwa¿ono.

I've found a fascinating description of a flagellators' pilgrimage which took place in the 14th century. | Znalaz³em fascynuj±cy opis pielgrzymki biczowników, która mia³a miejsce w XIV wieku.

The servant was suspected of drinking up the heeltap. | S³u¿±cego podejrzewano o spijanie niedopitków.

The whole period prevenient to the family's supremacy nad the heyday of their fortune was blood, sweat nad tears. | Ca³y okres poprzedzaj±cy czas wielkich wp³ywów rodziny i rozkwitu jej maj±tku by³ wype³niony bardzo  ciê¿k± prac±.

Senectitude can be very difficult to bear. | Staro¶æ bywa trudna do zniesienia.

The programme proved rather fiddly. | Okaza³o siê, ¿e program wymaga³ du¿ej zrêczno¶ci.

You've got to swot now before the exam. | Musisz teraz powkuwaæ do egzaminu.

She is preparing her third book concerning andragogy. | Przygotowuje teraz trzeci± ksi±¿kê dotycz±c± metodyki nauczania doros³ych.

Jolly graduands gathered in the assembly hall. | Weseli prawie-absolwenci zebrali siê w auli.

All he said was pure dodoism. There was no room for a reasonable debate. | To, co powiedzia³, to groteskowy konserwatyzm w czystej postaci. Nie by³o miejsca na rzeczow± dyskusjê.

He belonged to the smartest group of abecedarians; his teachers were really impressed. | Nale¿a³ do grupy najbardziej bystrych pocz±tkuj±cych; wywar³ du¿e wra¿enie na nauczycielach.

Girls, you've become obsessed about that celebutard! | Dziewczyny, macie obsesjê na punkcie tej niezbyt inteligentnej s³awy!

His unexpected arrival gave her the heebie-jeebies. | Jego niespodziewane przybycie przerazi³o j±.

The rent-a-crowd gathered as usual on such occasions. | Ludzie chêtni do protestu dla draki zgromadzili siê jak zwykle przy takich okazjach.

Will you buy drinks for all of us if we pay the doormoney? | Kupisz nam wszystkim drinki, jesli my zap³acimy za wstêp?

The author writes about his prelapsarian, idyllic childhood. | Autor pisze o sielskim, idyllicznym dzieciñstwie.

Who's that sloe-eyed beauty? Don't tell me she's Mark's brand new girlfriend! | Kim jest ta ciemnooka piêkno¶æ? Nie mów, ¿e to najnowsza dziewczyna Mark'a!

She admitted the truth in a choky voice. | Zd³awionym g³osem potwierdzi³a prawdê.

Don't believe that blusterer- you'll regret it if you do. | Nie wierz temu krzykaczowi- je¶li to zrobisz, bêdziesz ¿a³owaæ.

Intellidating is said to be catching on among young highbrows. | Podobno zwyczaj "inteligentnych randek" przyjmuje siê w¶ród m³odych intelektualistów.

He was said to be a calm and douce man, which wasn't really true. | Mówiono o nim, ¿e jest spokojnym i zrównowa¿onym cz³owiekiem, co w rzeczywisto¶ci nie by³o prawd±.

Henry was so charming nobody even noticed his dowdiness. | Henry by³ tak czaruj±cy, ¿e nikt nawet nie zauwa¿a³ jego niechlujnego wygl±du.

As a politician, he was a dovish and open negotiator. | Jako polityk by³ otwartym i nastawionym na kompromis negocjatorem.

He's always belonged to the leading edge of jazz musicians. | Zawsze nale¿a³ do ¶cis³ej czo³ówki muzyków jazzowych.

The Preraphaelites were... well, really, I must call them first water lunatics! | Prerafaelici byli... có¿, muszê ich nazwaæ typowymi wariatami!

Has she ordered all the items of fit-out we need? | Czy zamówi³a wszystkie elementy wyposa¿enia, których potrzebujemy?

The whole issue, with its divisiveness and complexity, is extremely difficult to solve. | Ca³a kwestia, z jej spornym charakterem i z³o¿ono¶ci±, jest niezwykle trudna do rozwi±zania.

She was so determined that wangling their votes wouldn't surprise me at all. | By³a tak zdeterminowana, ¿e zdobycie ich g³osów na drodze manipulacji wcale by mnie nie zdziwi³o.

You're becoming a germaphobe! | Zaczynasz mieæ obsesjê na punkcie bakterii!

In his attempt to gentrify the family, Henry made lots of mistakes. | Próbuj±c podnie¶æ status rodziny Henry pope³ni³ masê b³êdów.

Our reunion turned out a nonevent. | Nasze spotkanie po latach okaza³o siê niewypa³em.

The old granary burnt down in the 19th century. | Stary spichlerz sp³on±³ w XIX wieku.

He's a master of one-liners. | Jest mistrzem celnych ripost.

I believe his latest speech was a result of temporal muddleheadedness. | Wierzê, ¿e jego ostatnie przemówienie to wynik tymczasowego nie³adu my¶lowego.

His ingenious idea to run a business basing on ewaste is starting to make profit. | Jego nietypowy pomys³, ¿eby za³o¿yæ firmê skoncentrowan± wokó³ elektronicznych ¶mieci zaczyna przynosiæ zyski.

His invidious position made her wife awfully worried. | Jego sytuacja nie do pozazdroszczenia okropnie martwi³a jego ¿onê.

Her frame of mind, far from posiive, affected her performance during the exam. | Jej nastrój, daleki od dobrego, ¼le wp³yn±³ na to, jak poszed³ jej egzamin.

Thick forest, a sparsely populated area and a network of good roads were perfect conditions for maintaining a vespiary of Nazis. | Gêsty las, s³abo zaludniony teren i sieæ dobrych dróg stwarza³y doskona³e warunki dla utrzymania gniazda os Nazistów.

Doesn't it give you the creeps to think that ages ago monks were walking in this very deambulatory? | Czy nie przeszywaj± ciê dreszcze na my¶l, ¿e wieki temu mnisi spacerowali po tym w³a¶nie kru¿ganku?

The magniloquent words the author uses are pretty banal and simply silly. | Górnolotne s³owa, których u¿ywa autor, s± dosyæ banalne i po prostu g³upie.

He behaved debonairly and all the ladies were bewitched. | Zachowywa³ siê ujmuj±co i wszystkie panie by³y oczarowane.

He is said to have been involved in the acts of espial you mentioned. | Mówi±, ¿e bra³ udzia³ w dzia³aniach szpiegowskich, o których wspomina³e¶.

As the breadwinner in those hard times, he had to work long hours. | Jako ¿ywiciel rodziny w tych ciê¿kich czasach musia³ pracowaæ do pó¼na.

